N,Sparsity,Procs,Iterations,csr_construct,csr_comm,csr_calc,csr_total,dense_total
1000,0.2,60,20,0.006072,0.009481,0.014125,0.029679,0.054575
1000,0.2,64,20,0.006116,0.007607,0.01203,0.025753,0.064084
1000,0.2,120,20,0.006194,0.029353,0.041932,0.077479,0.332419
1000,0.6,60,20,0.010335,0.011782,0.020917,0.043034,0.055478
1000,0.6,64,20,0.006399,0.011975,0.021353,0.039727,0.068142
1000,0.6,120,20,0.006407,0.014991,0.081613,0.103011,0.361934
1000,0.9,60,20,0.002509,0.007706,0.037544,0.047758,0.053214
1000,0.9,64,20,0.0025,0.016954,0.015637,0.035091,0.062446
1000,0.9,120,20,0.002522,0.015392,0.047689,0.065603,0.33694
1000,0.99,60,20,0.004964,0.022469,0.022154,0.049586,0.055919
1000,0.99,64,20,0.004865,0.020958,0.013619,0.039442,0.053236
1000,0.99,120,20,0.001385,0.013419,0.045988,0.060792,0.336883
10000,0.2,60,20,0.607446,5.729624,0.067304,6.404374,3.629113
10000,0.2,64,20,0.608294,5.73262,0.066998,6.407912,3.676479
10000,0.2,120,20,0.608638,5.942021,0.338714,6.889373,30.870454
10000,0.6,60,20,0.642859,2.85567,0.048133,3.546663,3.661517
10000,0.6,64,20,0.642971,2.871486,0.045214,3.559672,3.675021
10000,0.6,120,20,0.642248,3.010275,0.334507,3.98703,30.883829
10000,0.9,60,20,0.254637,0.6544,0.040153,0.94919,3.660992
10000,0.9,64,20,0.253716,0.718191,0.04406,1.015966,3.680981
10000,0.9,120,20,0.254655,0.743406,0.355217,1.353278,30.900844
10000,0.99,60,20,0.141438,0.025708,0.042771,0.209917,3.657359
10000,0.99,64,20,0.144442,0.021154,0.037222,0.202819,3.675872
10000,0.99,120,20,0.157895,0.020546,0.348915,0.527356,30.886931
